url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,has_ip,has_at,num_subdomains,has_https,path_depth,has_port,entropy,is_shortening,has_suspicious,http_status_code,http_response_time,http_redirect_count,content_length,server_type,ssl_valid,ssl_days_remaining,ssl_issuer_trusted,ssl_self_signed,ssl_cert_age_days,dns_resolve_time,dns_record_count,dns_has_mx,label
17,9,0,1,0,0,2,1,0,0,0,1,0,0,3.7345,0,0,404,0.382,0,548,4,1,80,0,0,9,0.021,2,0,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,1.693,1,364188,2,1,81,0,0,313,0.037,3,1,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.625,0,0,403,0.109,0,6994,4,1,58,0,0,31,0.06,1,0,0
17,9,0,1,0,0,2,1,0,0,0,1,0,0,3.6901,0,0,200,0.854,0,29727,2,1,74,0,0,15,0.035,1,1,0
131,15,108,2,2,0,7,20,0,0,1,1,4,0,4.9609,0,1,403,0.694,0,7662,5,1,62,0,0,21,0.001,1,1,1
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.625,0,0,200,1.581,1,489541,5,1,379,1,0,8,0.019,1,1,0
28,19,1,1,1,0,3,0,0,0,0,1,0,0,4.3518,0,0,200,1.005,0,130,4,1,78,0,0,11,0.09,2,0,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,200,0.463,1,291346,4,1,43,0,0,46,0.026,1,0,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,200,2.515,1,41687,2,1,359,1,0,37,0.02,1,1,0
23,4,11,1,0,0,3,1,0,0,0,1,0,0,3.9362,1,0,200,0.264,0,268,4,1,49,0,0,40,0.001,1,0,1
34,26,0,1,0,0,2,0,0,0,0,1,0,0,4.0431,0,0,200,0.993,2,91190,5,1,62,0,0,21,0.202,1,1,0
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.7842,0,0,200,1.925,3,568286,0,1,366,0,0,27,0.078,4,1,0
36,29,0,2,1,0,2,8,0,0,1,0,0,0,4.3292,0,0,502,0.557,0,0,0,0,0,0,0,0,0.0,0,0,1
20,12,0,2,0,0,2,0,0,0,1,1,0,0,3.5842,0,1,200,0.919,2,61103,5,1,62,0,0,21,0.031,1,0,0
18,10,0,2,0,0,2,0,0,0,1,1,0,0,3.6144,0,0,200,0.694,2,1655277,5,1,32,1,0,356,0.022,1,1,0
24,16,0,1,0,0,2,0,0,0,0,1,0,0,3.7202,0,0,200,2.794,1,228433,2,1,234,0,0,130,0.035,2,1,0
84,15,61,2,0,1,6,9,0,0,1,1,3,0,4.8582,0,1,401,1.002,0,8916,5,1,62,0,0,21,0.001,1,1,1
28,20,1,2,0,0,3,6,0,0,1,0,0,0,4.1106,0,0,404,1.228,1,207,4,0,0,0,0,0,0.255,2,0,1
84,15,61,2,0,1,6,10,0,0,1,1,3,0,4.7664,0,1,401,0.535,0,8916,5,1,62,0,0,21,0.001,1,0,1
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.3372,0,0,403,1.284,1,4512,4,1,110,1,0,283,0.036,1,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.4316,0,0,200,1.399,2,65000,0,1,85,0,0,274,0.021,1,1,0
21,13,0,1,0,0,2,0,0,0,0,1,0,0,3.6897,0,0,200,0.632,1,261333,5,1,188,1,0,177,0.07,4,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.9321,0,0,200,0.528,1,579943,4,1,37,0,0,52,0.123,2,1,0
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.4548,0,0,200,2.652,1,229799,4,1,44,0,0,45,0.25,2,1,0
34,25,1,2,2,0,3,0,0,0,1,1,0,0,4.0941,0,0,451,0.461,0,109,5,1,89,0,0,0,0.04,1,0,1
21,13,0,1,0,0,2,0,0,0,0,1,0,0,3.9161,0,0,200,2.515,4,1917272,4,1,80,0,0,9,0.034,2,1,0
14,6,0,1,0,0,2,2,0,0,0,1,0,0,3.3788,0,0,200,2.144,0,55771,5,1,269,1,0,127,0.253,2,1,0
27,20,0,1,0,0,2,0,0,0,0,0,0,0,3.9582,0,0,502,0.233,0,0,0,0,0,0,0,0,0.0,0,0,1
